game_id	"	"	is_home	"	"	team_id	"	"	team_name	"	"	team_url	"	"	inning_scores	"	"	team_rhe
3314375	#	0	#	697	#	Texas A&M	#	http://stats.ncaa.org/team/index/11620?org_id=697	#	[2, 1, 1, 0, 0, 1, 0, 0, 0]	#	[5, 8, 0]
3314375	#	1	#	736	#	Vanderbilt	#	http://stats.ncaa.org/team/index/11620?org_id=736	#	[0, 2, 3, 1, 0, 0, 0, 2, 0]	#	[8, 13, 0]
3300438	#	0	#	430	#	Mississippi St.	#	http://stats.ncaa.org/team/index/11620?org_id=430	#	[0, 0, 0, 1, 1, 0, 0, 1, 1]	#	[4, 12, 2]
3300438	#	1	#	365	#	LSU	#	http://stats.ncaa.org/team/index/11620?org_id=365	#	[2, 2, 3, 0, 3, 6, 1, 0, 0]	#	[17, 20, 0]
3379525	#	0	#	439	#	Monmouth	#	http://stats.ncaa.org/team/index/11620?org_id=439	#	[0, 0, 1, 0, 0, 0, 3, 0, 0]	#	[4, 6, 2]
3379525	#	1	#	116	#	Canisius	#	http://stats.ncaa.org/team/index/11620?org_id=116	#	[1, 1, 3, 1, 6, 0, 1, 3, 0]	#	[16, 17, 2]
3161391	#	0	#	735	#	Valparaiso	#	http://stats.ncaa.org/team/index/11620?org_id=735	#	[2, 0, 3, 0, 0, 0, 0, 0, 0]	#	[5, 5, 0]
3161391	#	1	#	26172	#	A&M-Corpus Chris	#	http://stats.ncaa.org/team/index/11620?org_id=26172	#	[0, 0, 0, 0, 0, 0, 0, 1, 0]	#	[1, 6, 5]
3343786	#	0	#	702	#	Texas-Arlington	#	http://stats.ncaa.org/team/index/11620?org_id=702	#	[1, 0, 1, 4, 3, 0, 0, 0, 2]	#	[11, 13, 3]
3343786	#	1	#	716	#	Troy	#	http://stats.ncaa.org/team/index/11620?org_id=716	#	[0, 0, 0, 1, 5, 0, 0, 0, 0]	#	[6, 13, 1]
3016853	#	0	#	164	#	UConn	#	http://stats.ncaa.org/team/index/11620?org_id=164	#	[2, 0, 0, 0, 0, 0, 0, 0, 0]	#	[2, 6, 2]
3016853	#	1	#	518	#	Ohio St.	#	http://stats.ncaa.org/team/index/11620?org_id=518	#	[0, 0, 4, 0, 0, 2, 0, 2, 0]	#	[8, 10, 1]
3361030	#	0	#	635	#	Seton Hall	#	http://stats.ncaa.org/team/index/11620?org_id=635	#	[2, 0, 0, 1, 0, 2, 0, 0, 0, 2]	#	[7, 10, 1]
3361030	#	1	#	169	#	Creighton	#	http://stats.ncaa.org/team/index/11620?org_id=169	#	[0, 0, 1, 1, 1, 0, 2, 0, 0, 3]	#	[8, 12, 1]
3228963	#	0	#	312	#	Iowa	#	http://stats.ncaa.org/team/index/11620?org_id=312	#	[2, 0, 0, 2, 4, 3, 0, 0, 2]	#	[13, 15, 0]
3228963	#	1	#	251	#	Georgetown	#	http://stats.ncaa.org/team/index/11620?org_id=251	#	[0, 0, 0, 0, 0, 0, 0, 0, 1]	#	[1, 5, 3]
3089797	#	0	#	352	#	Lehigh	#	http://stats.ncaa.org/team/index/11620?org_id=352	#	[2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0]	#	[6, 13, 2]
3089797	#	1	#	450	#	Mt. St. Mary's	#	http://stats.ncaa.org/team/index/11620?org_id=450	#	[0, 0, 0, 0, 3, 1, 0, 0, 2, 0, 0, 1]	#	[7, 15, 0]
3258412	#	0	#	312	#	Iowa	#	http://stats.ncaa.org/team/index/11620?org_id=312	#	[0, 0, 0, 2, 1, 0, 0, 0, 0]	#	[3, 8, 0]
3258412	#	1	#	418	#	Michigan	#	http://stats.ncaa.org/team/index/11620?org_id=418	#	[1, 0, 1, 0, 0, 0, 0, 0, 0]	#	[2, 6, 1]
3314379	#	0	#	2711	#	North Florida	#	http://stats.ncaa.org/team/index/11620?org_id=2711	#	[0, 0, 0, 2, 0, 1, 0, 2, 0]	#	[5, 6, 0]
3314379	#	1	#	198	#	East Tenn. St.	#	http://stats.ncaa.org/team/index/11620?org_id=198	#	[1, 0, 0, 2, 1, 0, 1, 0, 1]	#	[6, 9, 1]
3379526	#	0	#	735	#	Valparaiso	#	http://stats.ncaa.org/team/index/11620?org_id=735	#	[0, 4, 0, 0, 1, 0, 0, 0, 0]	#	[5, 11, 1]
3379526	#	1	#	817	#	Youngstown St.	#	http://stats.ncaa.org/team/index/11620?org_id=817	#	[0, 0, 3, 0, 0, 0, 0, 0, 0]	#	[3, 8, 2]
3300454	#	0	#	61	#	Bethune-Cookman	#	http://stats.ncaa.org/team/index/11620?org_id=61	#	[0, 0, 0, 4, 0, 0, 0, 0, 0]	#	[4, 9, 1]
3300454	#	1	#	231	#	FIU	#	http://stats.ncaa.org/team/index/11620?org_id=231	#	[0, 0, 0, 1, 4, 3, 0, 0, 0]	#	[8, 9, 2]
