year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	team_score	opponent_score	is_final	innings	game_id	game_url
2015	12080	1050	Defiance	03/09/2015	Eastern Nazarene @ Fort Myers, Fla.	1064	Eastern Nazarene		true	Fort Myers, Fla.	true	W 11 - 4 (7)	true	11 - 4	11	4	true	7	3811108	
2015	12080	1050	Defiance	03/09/2015	Eastern Nazarene @ Fort Myers, Fla.	1064	Eastern Nazarene		true	Fort Myers, Fla.	true	W 14 - 8 (7)	true	14 - 8	14	8	true	7	3811113	
2015	12080	1050	Defiance	03/10/2015	Rivier @ Fort Myers, Fla.	18422	Rivier		true	Fort Myers, Fla.	true	W 5 - 0 (7)	true	5 - 0	5	0	true	7	3811367	
2015	12080	1050	Defiance	03/10/2015	Rivier @ Fort Myers, Fla.	18422	Rivier		true	Fort Myers, Fla.	true	W 12 - 6 (7)	true	12 - 6	12	6	true	7	3818312	
2015	12080	1050	Defiance	03/12/2015	Mitchell @ Ft. Myers, Fla.	30042	Mitchell		true	Ft. Myers, Fla.	true	W 12 - 10 (9)	true	12 - 10	12	10	true	9	3814461	
2015	12080	1050	Defiance	03/13/2015	Salve Regina @ Fort Myers, Fla.	623	Salve Regina		true	Fort Myers, Fla.	true	L 2 - 4 (9)	false	2 - 4	2	4	true	9	3828719	
2015	12080	1050	Defiance	03/13/2015	North Park @ Ft. Myers, FL	496	North Park		true	Ft. Myers, FL	true	L 3 - 10 (9)	false	3 - 10	3	10	true	9	3818868	
2015	12080	1050	Defiance	03/18/2015	Ohio Northern	517	Ohio Northern		false		true	L 6 - 15 (9)	false	6 - 15	6	15	true	9	3820897	
2015	12080	1050	Defiance	03/20/2015	@ Rose-Hulman	585	Rose-Hulman		false		false	L 0 - 4 (9)	false	0 - 4	0	4	true	9	3828462	
2015	12080	1050	Defiance	03/21/2015	@ Rose-Hulman	585	Rose-Hulman		false		false	L 1 - 7 (9)	false	1 - 7	1	7	true	9	3825342	
2015	12080	1050	Defiance	03/21/2015	@ Rose-Hulman	585	Rose-Hulman		false		false	W 1 - 0 (9)	true	1 - 0	1	0	true	9	3825459	
2015	12080	1050	Defiance	03/25/2015	@ Bluffton	987	Bluffton		false		false	L 7 - 8 (9)	false	7 - 8	7	8	true	9	3828198	
2015	12080	1050	Defiance	03/28/2015	Mt. St. Joseph	8567	Mt. St. Joseph		false		true	W 9 - 8 (9)	true	9 - 8	9	8	true	9	3832418	
2015	12080	1050	Defiance	03/29/2015	Mt. St. Joseph @ Toledo, Ohio	8567	Mt. St. Joseph		true	Toledo, Ohio	true	L 3 - 6 (9)	false	3 - 6	3	6	true	9	3834780	
2015	12080	1050	Defiance	03/29/2015	Mt. St. Joseph @ Toledo, Ohio	8567	Mt. St. Joseph		true	Toledo, Ohio	true	W 16 - 1 (7)	true	16 - 1	16	1	true	7	3834777	
2015	12080	1050	Defiance	03/31/2015	@ Bluffton	987	Bluffton		false		false	L 3 - 5 (9)	false	3 - 5	3	5	true	9	3835090	
2015	12080	1050	Defiance	04/03/2015	Franklin	2694	Franklin		false		true	L 2 - 4 (9)	false	2 - 4	2	4	true	9	3840592	
2015	12080	1050	Defiance	04/04/2015	Franklin	2694	Franklin		false		true	W 11 - 10 (9)	true	11 - 10	11	10	true	9	3839254	
2015	12080	1050	Defiance	04/04/2015	Franklin	2694	Franklin		false		true	L 5 - 13 (9)	false	5 - 13	5	13	true	9	3841171	
2015	12080	1050	Defiance	04/11/2015	@ Transylvania	28749	Transylvania		false		false	W 6 - 5 (9)	true	6 - 5	6	5	true	9	3847765	
2015	12080	1050	Defiance	04/11/2015	@ Transylvania	28749	Transylvania		false		false	W 5 - 1 (9)	true	5 - 1	5	1	true	9	3847763	
2015	12080	1050	Defiance	04/12/2015	@ Transylvania	28749	Transylvania		false		false	L 1 - 6 (9)	false	1 - 6	1	6	true	9	3848306	
2015	12080	1050	Defiance	04/14/2015	Bluffton	987	Bluffton		false		true	W 6 - 4 (9)	true	6 - 4	6	4	true	9	3851365	
2015	12080	1050	Defiance	04/15/2015	@ Heidelberg	278	Heidelberg		false		false	L 5 - 16 (9)	false	5 - 16	5	16	true	9	3857008	
2015	12080	1050	Defiance	04/18/2015	Hanover	1115	Hanover		false		true	W 5 - 1 (9)	true	5 - 1	5	1	true	9	3853867	
2015	12080	1050	Defiance	04/18/2015	Hanover	1115	Hanover		false		true	L 1 - 3 (9)	false	1 - 3	1	3	true	9	3856053	
2015	12080	1050	Defiance	04/19/2015	Hanover	1115	Hanover		false		true	W 4 - 0 (9)	true	4 - 0	4	0	true	9	3856303	
2015	12080	1050	Defiance	04/21/2015	Manchester	1192	Manchester		false		true	L 12 - 14 (9)	false	12 - 14	12	14	true	9	3857664	
2015	12080	1050	Defiance	04/22/2015	@ Manchester	1192	Manchester		false		false	L 3 - 9 (9)	false	3 - 9	3	9	true	9	3858426	
2015	12080	1050	Defiance	04/25/2015	Earlham	195	Earlham		false		true	W 2 - 1 (9)	true	2 - 1	2	1	true	9	3863362	
2015	12080	1050	Defiance	04/25/2015	Earlham	195	Earlham		false		true	L 4 - 7 (9)	false	4 - 7	4	7	true	9	3863388	
2015	12080	1050	Defiance	04/26/2015	Earlham	195	Earlham		false		true	L 1 - 7 (9)	false	1 - 7	1	7	true	9	3863868	
